"","Gene","p.value","FDR","indicator"
"1","CUL1",2.01e-09,0.000290195080636213,1
"2","XPO7",7.18e-09,0.000382197041243926,1
"3","TRIO",6.35e-08,0.000486922500621101,1
"4","CACNA1G",4.57e-07,0.000774910182674671,1
"5","SP4",5.08e-07,0.00118607608249219,1
"6","GRIA3",5.98e-07,0.00149623138644972,1
"7","GRIN2A",7.37e-07,0.0017611405773404,1
"8","HERC1",1.26e-06,0.0020772298689808,1
"9","RB1CC1",2e-06,0.00243858086655607,1
"10","HCN4",2.54e-06,0.00279188859870265,1
"13","SRRM2",1.53e-05,0.00334524777439015,1
"11","AKAP11",8.28e-06,0.00395427407927994,1
"12","ZNF136",9.42e-06,0.00452455716336611,1
"14","NR3C2",1.6e-05,0.00526533094205285,1
"15","ZMYM2",1.73e-05,0.00594823630423182,1
"16","FAM120A",2.22e-05,0.00668006848720656,1
"17","KDM6B",2.57e-05,0.00740872159822311,1
"18","DNM3",3.53e-05,0.00825037390190025,1
"19","ASH1L",3.77e-05,0.00904587716345278,1
"20","STAG1",5.26e-05,0.00999129525552624,1
"29","SOBP",0.000132,0.0108821797020764,1
"21","PREP",5.99e-05,0.011751189859767,1
"22","MAGEC1",6.18e-05,0.0125670363537631,1
"23","MAGI2",6.41e-05,0.0133405220173322,1
"24","DAGLA",6.87e-05,0.0141002622523857,1
"25","SLC22A11",7.56e-05,0.0148686548975593,1
"26","ANKRD12",7.87e-05,0.0156083630997799,1
"27","SV2A",8.21e-05,0.0163245939964967,1
"28","EIF2S3",8.23e-05,0.0169930819809465,1
"30","BSCL2",0.000222,0.0185055319528879,1
"31","NR4A2",0.000255,0.0200864381084144,1
"42","CACNA2D1",0.00068,0.0218268057342245,1
"32","FYN",0.000375,0.0237200809121547,1
"33","CRAT",0.000401,0.0256000505124447,1
"34","SCAF1",0.000415,0.0274228517544537,1
"35","SLC34A2",0.000479,0.0293597287491341,1
"36","ZNF318",0.000479,0.031191909690048,1
"68","RYR2",0.00208,0.032930124354744,1
"37","CGREF1",0.000487,0.0346008624909966,1
"38","FABP7",0.000553,0.0363759331238755,1
"39","TRAPPC10",0.000557,0.0380752255789265,1
"40","PTGER1",0.000585,0.0397666144461433,1
"41","HMGCR",0.000644,0.0415251288375707,1
"43","SRPK1",0.000694,0.04332024167366,1
"194","TP53I11",0.0101,0.0450454658619835,1
"44","ZMYND11",0.000802,0.0469157874709704,1
"45","LMBR1L",0.000812,0.0487266730283284,1
"46","KCNN3",0.000908,0.0506464875441791,1
"47","SLITRK5",0.000917,0.052504442173597,1
"48","SLC25A43",0.000932,0.0543148759637688,1
"49","ABHD13",0.00106,0.0562713980175877,1
"50","ZFC3H1",0.00107,0.058168811515847,1
"51","HERPUD2",0.00108,0.0600103965710916,1
"52","PUM2",0.00114,0.0618753432799852,1
"79","QRICH1",0.00268,0.063954706642272,1
"53","IPMK",0.00136,0.0659896721855702,1
"81","CHD5",0.00277,0.0679870278927267,1
"54","OTUD4",0.00148,0.0700346734419859,1
"55","ADNP",0.00149,0.0720251280499847,1
"56","CSPG5",0.0015,0.0739612132379994,1
"57","CRB1",0.00152,0.0758572746486996,1
"58","ATP1A2",0.00153,0.0777036568768011,1
"59","HMGB2",0.00155,0.0795139226186476,1
"60","PROM1",0.0016,0.0813223969776078,1
"61","TEFM",0.00171,0.0831911056542648,1
"145","SORCS1",0.00646,0.0850308621515837,1
"62","OMG",0.00177,0.0868482797595031,1
"63","CNOT4",0.00192,0.0887554795744314,1
"64","NRXN1",0.00194,0.0906257989077123,1
"65","SMARCA1",0.00199,0.0924876184856171,1
"66","TSC22D1",0.00201,0.0943145571469125,1
"67","CHAF1B",0.00206,0.0961336712043115,1
"101","BCL6",0.00406,0.097922788808551,1
"69","CLPTM1",0.00211,0.0996852283865677,1
"70","POLRMT",0.00212,0.101408750304883,1
"71","LZIC",0.00214,0.103102807495337,1
"72","DCTN5",0.00219,0.10479174798387,1
"73","PSMA3",0.00224,0.106475317837049,1
"74","GAL3ST2",0.00226,0.108131125994603,1
"172","GAS7",0.00825,0.109773519800933,1
"75","SMG7",0.00235,0.11141212990931,1
"76","NAMPT",0.00236,0.113017763085168,1
"77","HIVEP2",0.00238,0.114598470024962,1
