"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"1","PYGL",0.0196,1.4229281506406e-06,"NO","YES","NO"
"2","CHD2",0.0205,1.43983526884606e-06,"NO","YES","NO"
"3","CPN2",0.593,1.64289703267576e-06,"NO","YES","NO"
"4","PPARGC1A",0.0339,7.33442673495066e-06,"NO","YES","NO"
"5","TRIO",6.35e-08,1.58098041131094e-05,"YES","YES","YES"
"6","BTBD10",0.113,2.20434902309756e-05,"NO","YES","NO"
"7","GAS7",0.00825,4.04236983969472e-05,"YES","YES","NO"
"8","MKLN1",0.0152,6.06652354235571e-05,"NO","YES","NO"
"9","SRRM2",1.53e-05,7.65572810474217e-05,"YES","YES","YES"
"10","GRHL3",0.019,9.15782864975401e-05,"NO","YES","NO"
"11","ABCA3",0.0391,0.000113913386083827,"NO","YES","NO"
"12","ZNF536",0.0937,0.000153647524481002,"NO","YES","NO"
"13","FNBP4",0.0121,0.00031844564831325,"NO","YES","NO"
"14","NLRC3",0.0426,0.000616883877524145,"NO","YES","NO"
"15","CCND2",0.048,0.000897739058588202,"NO","YES","NO"
"16","SOBP",0.000132,0.00115338176286926,"YES","YES","NO"
"17","MLXIP",0.0783,0.00147371642087279,"NO","YES","NO"
"18","SCRN1",0.11,0.00185736071178377,"NO","YES","NO"
"19","GEM",0.171,0.00238312713976214,"NO","YES","NO"
"20","CIC",0.18,0.00288271030102109,"NO","YES","NO"
"21","CACNA1G",4.57e-07,0.00335319465700447,"YES","YES","YES"
"22","GRIA3",5.98e-07,0.00382062408477943,"YES","YES","YES"
"23","MCM5",0.311,0.00456492865654652,"NO","YES","NO"
"24","ABLIM2",0.00686,0.00528906721631471,"YES","YES","NO"
"25","NUMA1",0.338,0.00599670205408843,"NO","YES","NO"
"26","AMOTL1",0.00843,0.00669184355696074,"YES","YES","NO"
"27","TP53I11",0.0101,0.00741250855275594,"NO","YES","NO"
"28","PTTG1",0.428,0.00824610192693118,"NO","YES","NO"
"29","EIF4G1",0.0185,0.00916773493635433,"NO","YES","NO"
"30","ZNF512B",0.0248,0.0102153343459895,"NO","YES","NO"
"31","CHIC2",0.0492,0.0117893006074878,"NO","YES","NO"
"32","CHERP",0.0521,0.0133270019916338,"NO","YES","NO"
"33","MYO1D",0.082,0.0153550150879697,"NO","YES","NO"
"34","RYR2",0.00208,0.019216161713104,"YES","YES","NO"
"35","HIVEP2",0.00238,0.0230547141758374,"YES","YES","NO"
"36","BCL6",0.00406,0.0275468886131676,"YES","YES","NO"
"37","GOLGB1",0.00407,0.031800532401266,"YES","YES","NO"
"38","ADCY5",0.00505,0.0362119680855416,"YES","YES","NO"
"39","BSN",0.00505,0.0403971762988287,"YES","YES","NO"
"40","HCN4",2.54e-06,0.0444762462510221,"YES","YES","YES"
"41","DSCAM",0.00607,0.0485806947113862,"YES","YES","NO"
"42","SORCS1",0.00646,0.0526020720727118,"YES","NO","NO"
"43","TICRR",0.952,0.0571282611326464,"NO","NO","NO"
"44","GRIK3",0.00949,0.0614924961421571,"YES","NO","NO"
"45","MYH3",0.0119,0.0661253044697673,"NO","NO","NO"
"46","CACNA1E",0.0157,0.0711627106874581,"NO","NO","NO"
"47","THBS4",0.0185,0.0763648965056801,"NO","NO","NO"
"48","CUL1",2.01e-09,0.0826691282182689,"YES","NO","YES"
